time
0.0
0.4
0.8
1.2
1.6
2.0
2.4
2.8
3.2
3.6
4.0
4.4
4.8
5.2
5.6
6.0
6.4
6.8
7.2
7.6
8.0
8.4
8.8
9.2
9.6
10.0
10.4
10.8
11.2
11.6
12.0
12.4
12.8
13.2
13.6
14.0
14.4
14.8
15.2
15.6
16.0
16.4
16.8
17.2
17.6
18.0
18.4
18.8
19.2
19.6
20.0
20.4
20.8
21.2
21.6
22.0
22.4
22.8
23.2
23.6
24.0
24.4
24.8
25.2
25.6
26.0
26.4
26.8
27.2
27.6
28.0
28.4
28.8
29.2
29.6
30.0
30.4
30.8
31.2
31.6
32.0
32.4
32.8
33.2
33.6
34.0
34.4
34.8
35.2
35.6
36.0
36.4
36.8
37.2
37.6
38.0
38.4
38.8
39.2
39.6
40.0
40.4
40.8
41.2
41.6
42.0
42.4
42.8
43.2
43.6
44.0
44.4
44.8
45.2
45.6
46.0
46.4
46.8
47.2
47.6
48.0
48.4
48.8
49.2
49.6
50.0
50.4
50.8
51.2
51.6
52.0
52.4
52.8
53.2
53.6
54.0
54.4
54.8
55.2
55.6
56.0
56.4
56.8
57.2
57.6
58.0
58.4
58.8
59.2
59.6
60.0
60.4
60.8
61.2
61.6
62.0
62.4
62.8
63.2
63.6
64.0
64.4
64.8
65.2
65.6
66.0
66.4
66.8
67.2
67.6
68.0
68.4
68.8
